title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,publisher,open_access,quartile,scopus_link,print_issn,e_issn,frequency,review_time,PSI
Ocean Modelling,3.27,87,1093,334,82,1.392,1.899,Elsevier,NO,Quartile1,https://www.scopus.com/sourceid/28352,14635003,14635011,Monthly,18 weeks,0.8556880956717052
Journal of Computer Virology and Hacking Techniques,1.84,67,138,75,53,1.1,0.279,Springer,NO,Quartile2,https://www.scopus.com/sourceid/21100405702,,22638733,Monthly,18 weeks,0.8201299095489589
"Journal of Logic, Language and Information",0.91,37,40,44,50,1.514,0.342,Springer,NO,Quartile3,https://www.scopus.com/sourceid/145095,9258531,,Monthly,18 weeks,0.7644630607661022
IEEE/ACM Transactions on Audio Speech and Language Processing,5.06,95,2388,472,85,2.382,1.045,IEEE,NO,Quartile1,https://www.scopus.com/sourceid/21100368801,23299290,23299304,Bi-monthly,12 weeks,0.7385661385297154
Symmetry,2.28,75,1140,501,69,1.046,0.287,Others,YES,Quartile1,https://www.scopus.com/sourceid/21100201542,20738994,,Monthly,18 weeks,0.7123474776907668
"Law, Innovation and Technology",1.54,57,43,28,64,0.913,0.612,Taylor and Francis,NO,Quartile2,https://www.scopus.com/sourceid/21100824892,17579961,1757997X,Monthly,18 weeks,0.6763036483943422
npj Quantum Information,8.53,99,503,59,95,2.5,3.929,Others,YES,Quartile1,https://www.scopus.com/sourceid/21100827946,,20566387,Bi-monthly,12 weeks,0.6431676076003157
International Journal of Prognostics and Health Management,1.36,52,99,73,59,0.6859999999999999,0.242,Others,YES,Quartile2,https://www.scopus.com/sourceid/21100283367,21532648,,Monthly,18 weeks,0.6288472045164815
Journal of Systems Science and Complexity,1.05,43,296,283,43,0.647,0.281,Springer,NO,Quartile3,https://www.scopus.com/sourceid/4900152803,10096124,,Bi-annually,6 weeks,0.5569234504947491
International Journal of Information Technology and Decision Making,2.49,81,474,190,59,0.95,0.552,Others,NO,Quartile1,https://www.scopus.com/sourceid/4700152646,2196220,,Bi-monthly,12 weeks,0.5467977903235598
International Journal of Computing,2.07,71,87,42,57,1.337,0.29100000000000004,Others,NO,Quartile2,https://www.scopus.com/sourceid/21100820054,17276209,23125381,Monthly,18 weeks,0.5324773872397256
